Description:	Type:	Offset:	Related:	Size:	Comment:
Title Screen.	image	183122	183088	10646	Appears for 5 seconds at startup.
Undo menu options.	text	204562	0	75	
Unknown #01	binary	157298	0	10	Appears to be safe to modify.
Unknown #02	binary	201716	0	20	Appears to be safe to modify.
Unknown #03	binary	205522	0	95	Appears to be safe to modify.
Unknown #04	binary	213426	0	7	Appears to be safe to modify.
Unknown #05	binary	213468	0	126	Appears to be safe to modify.
Unknown #06	binary	214738	0	418	Appears to be safe to modify.
Unknown #07	binary	215328	0	42	Appears to be safe to modify.
Unknown #08	binary	215436	0	504	Appears to be safe to modify.
Unknown #09	binary	215940	0	32	Appears to be safe to modify.
Unknown #10	binary	158776	0	26	Appears to be safe to modify.
Unknown #11	binary	215972	0	37	Appears to be safe to modify.
Unknown #12	binary	216268	0	6507	Appears to be safe to modify.
Unknown #13	binary	222786	0	2246	Appears to be safe to modify.
Unknown #14	binary	225032	0	36	Appears to be safe to modify.
Unknown #15	binary	225083	0	143	Appears to be safe to modify.
Unknown #16	binary	225237	0	15	Appears to be safe to modify.
Unknown #17	binary	225310	0	24	Appears to be safe to modify.
Unknown #18	binary	160831	0	840	60x 14 byte records.
Unknown #19	binary	180321	0	281	Appears to be safe to modify.
Unknown #20	binary	180943	0	2113	Appears to be safe to modify.
Unknown #21	binary	183120	0	2	Appears to be safe to modify.
Unknown #22	binary	201044	0	60	Appears to be safe to modify.
Unknown #23	binary	201105	0	227	Appears to be safe to modify.
Unknown #24	binary	201545	0	9	Appears to be safe to modify.
Unknown #25	binary	203415	0	11	Appears to be safe to modify.
Unknown #26	binary	203410	0	2	Appears to be safe to modify.
Unknown #27	text	203877	0	5	Appears to be safe to modify.
Unknown #28	binary	204210	0	34	Appears to be safe to modify.
Unknown #29	binary	204274	0	46	Appears to be safe to modify.
Unknown #30	binary	204517	0	6	Appears to be safe to modify.
Unknown #31	binary	205344	0	26	Appears to be safe to modify.
Unknown #32	binary	206921	0	8	Appears to be safe to modify.
Unknown #33	binary	207562	0	13	Appears to be safe to modify.
Unknown #34	binary	207598	0	32	Appears to be safe to modify.
Unknown #35	binary	207632	0	16	Appears to be safe to modify.
Unknown #36	binary	204035	0	35	Appears to be safe to modify.
Unknown #37	binary	207648	0	108	Appears to be safe to modify.
Unknown #38	binary	207812	0	30	Appears to be safe to modify.
Unknown #39	binary	225334	0	1	Appears to be safe to modify.
Unknown #40	binary	225336	0	8	Appears to be safe to modify.
Unknown #41	binary	214598	0	6	Appears to be safe to modify.
Unknown #42	binary	210008	0	116	Appears to be safe to modify.
Unknown #43	binary	210138	0	731	Appears to be safe to modify.
Unknown #44	binary	210879	0	167	Appears to be safe to modify.
Unknown #45	binary	211204	0	10	Appears to be safe to modify.
Unknown #46	binary	161671	0	3240	60x 54 byte records.
Unknown #47	binary	164911	0	510	255x 2 byte records.
Unknown #48	binary	165421	0	514	257x 2 byte records.
Unknown #49	binary	165935	0	56	28x 2 byte records.
Unknown #50	binary	165991	0	2159	1080x 2 byte records. 
Unknown #51	binary	212468	0	20	Influences the Free Memory dialog.
Verify _IOSTRG call #1.	8086_code	0	0	8	
Verify _IOSTRG call #2.	8086_code	1810	0	8	
Verify _IOSTRG.	8086_code	154510	0	35	Returns true if _IOSTRG is detected.
Version.	text	206929	0	6	
Video mode error message.	text	207756	0	56	
Way menu items. #1	text	170275	0	190	
Way menu items. #2	text	216009	0	259	
Write error message to STDERR.	8086_code	152365	0	41	Takes an error message's offset and outputs the message to STDERR.
